hospital_name,doctor_name,total_revenue,doctor_rank
"Acosta Ltd","Michelle Davis",22112.33,3
"Acosta PLC","Juan Yates",9840.05,1
"Acosta Sons and","Robert White",5808.69,1
"Acosta Trujillo Davis, and","Michael Meyers",12344.73,1
"Acosta Weeks Yates, and","Travis Garcia",10073.66,1
"Acosta Willis, Martin and","Dawn Davis",24056.83,1
Acosta-Barnes,"Jason Carrillo",24230.82,1
Acosta-Berry,"Robert Todd",4981.75,1
Acosta-Carlson,"Troy Reed",5321.89,1
Acosta-Chambers,"Amanda Marsh",4112.21,1
Acosta-Clark,"Debra Powers",29257.72,1
Acosta-Davila,"Wendy Martin",10541.96,1
Acosta-Dickerson,"Samantha Martinez",25091.45,1
Acosta-Miller,"Jennifer Harris",5783.74,1
Acosta-Robertson,"William Robinson",37505.62,1
Acosta-Smith,"Michael West",4391.13,1
Acosta-Taylor,"Kimberly Nelson",6380.16,1
Acosta-Thomas,"Richard Sloan",27692.25,1
"Acosta, and Martin Torres","Molly Reed",17566.32,1
"Acosta, and Price Jackson","Shawn Reyes",47389.47,1
"Acosta, and Young Morrow","Barbara Warner",1857.48,1
"Acosta, Figueroa Compton and","Michael Roberson PhD",48430.01,1
"Acosta, Gordon Smith and","Barbara Bonilla",8416.57,1
"Acosta, Miller Martin and","Michael Alvarado Jr.",30129.29,1
"Acosta, Reed and Guzman","Valerie Bryant",23081.70,1
"Adams and Brown Benson,","Richard Palmer",14697.32,1
"Adams and Campos Cooper,","Kelsey Jacobson",12344.06,1
"Adams and Delgado Newman,","Scott Johnson",27763.57,1
"Adams and Everett Garza,","Christine Davis",35702.64,1
"Adams and Freeman Oneal,","Cindy Brown",18654.77,1
"Adams and Gonzales, Clark","Jerry Hicks",36086.73,1
"Adams and Roberts Armstrong,","Lawrence Ray",4431.90,1
"Adams and Smith Olson,","Joseph Watson",41330.29,1
"Adams and Sons","Ashley Bishop",47718.78,1
"Adams and Sons","Cody Burns",40380.23,2
"Adams and Sons","Brittney Kirk",26576.83,3
"Adams and Thomas Williams,","Grace Cochran MD",33730.88,1
"Adams and White, Smith","Kayla Jones",45292.62,1
"Adams Baxter, and Peterson","Carla Torres",32989.04,1
"Adams Bell Adams, and","Mary Ewing",35275.93,1
"Adams Group","Bonnie Clayton",49819.99,1
"Adams Group","Amy Martin",46151.68,2
"Adams Group","Elizabeth Jackson",36432.92,3
"Adams Inc","Dennis Riggs",41883.89,1
"Adams Inc","Elizabeth Wood",38878.00,2
"Adams Lawson, and Fleming","Jennifer Steele",15570.46,1
"Adams LLC","Angela Hughes",55957.96,1
"Adams LLC","Cameron Wood",36244.82,2
"Adams LLC","Diana Sweeney",30623.44,3
"Adams Ltd","Tammy Crosby",25906.65,1
"Adams Ltd","John Benjamin",24915.75,2
"Adams Ltd","Ashlee Morris",11476.27,3
"Adams Macias and Arias,","Veronica Ramirez",38996.20,1
"Adams Marshall, Taylor and","Misty Good",38672.11,1
"Adams Morris, and Griffin","Carmen Lee",31309.31,1
"Adams Murphy and Lopez,","Douglas Herman",20523.14,1
"Adams Navarro, Gomez and","Gregory Hudson",44461.77,1
"Adams Novak, and James","Paige Cox",40543.85,1
"Adams Odonnell and Cook,","Andrea Browning",34444.12,1
"Adams Patterson, and Pham","Samuel Bennett",41229.73,1
"Adams Patterson, Lawrence and","Sarah Wilson",37038.01,1
"Adams PLC","Matthew Anderson",49012.54,1
"Adams PLC","Michelle Jennings",3921.08,2
"Adams Rivas Duran, and","David Riley",42637.53,1
"Adams Smith Cervantes, and","Amanda Gross",43564.77,1
"Adams Sons and","Michelle York",9928.93,1
"Adams Sons and","Richard Oliver",8897.12,2
"Adams Torres Nixon, and","Thomas Martinez",16818.56,1
"Adams Weaver, and Acosta","John Hernandez",60591.48,1
"Adams West and Poole,","Alan Long",62947.30,1
"Adams Wilson, Newton and","Stacey Stone",39133.44,1
Adams-Bailey,"Sydney Thomas",33819.21,1
Adams-Barnes,"Timothy Torres",32284.55,1
Adams-Bass,"Erica Fields",27850.55,1
Adams-Bell,"Brenda Briggs",40135.06,1
Adams-Bennett,"Jonathan Mahoney",30363.33,1
Adams-Benson,"John Washington",12865.86,1
Adams-Best,"Austin Berry",70592.96,1
Adams-Black,"Gregory Berg",4974.77,1
Adams-Castillo,"Cody Yang",28520.94,1
Adams-Castro,"Ralph Craig",15125.80,1
Adams-Chase,"Edward Park",12786.12,1
Adams-Clark,"Virginia Meyers",27604.70,1
Adams-Cortez,"Jonathan Tran",12813.98,1
Adams-Daugherty,"Richard Boyle",21184.28,1
Adams-Dean,"Mckenzie Simmons",20445.47,1
Adams-Dominguez,"Bruce Cunningham",36690.07,1
Adams-Ferguson,"Kenneth Jacobson",18181.04,1
Adams-Flynn,"Aaron Brown",44196.91,1
Adams-Gallegos,"Peter Cameron",34085.72,1
Adams-Garza,"Benjamin Collier",24312.49,1
Adams-Gates,"Jeffrey Miller",41706.38,1
Adams-Gomez,"Deborah Wallace",27840.78,1
Adams-Hale,"Melanie Mccarthy",31203.13,1
Adams-Harper,"Angela Olson",33690.76,1
Adams-Harrington,"Erin Weiss",51055.71,1
Adams-Harris,"Anthony Hinton",28605.61,1
Adams-Henry,"Bobby Marks",30845.34,1
Adams-Hicks,"Megan Miller",63607.44,1
Adams-Hinton,"Krista Mills",50687.83,1
Adams-Howard,"Kevin Hill",37664.09,1
Adams-Jackson,"Jordan Barry",31875.57,1
Adams-Johnson,"Timothy Cross",14812.65,1
Adams-Johnson,"Carrie Wright",4143.56,2
Adams-Kim,"Eileen Sanchez",92189.96,1
Adams-Krause,"Mr. Robert Valdez",51144.92,1
Adams-Lee,"Brian Proctor",38656.08,1
Adams-Marquez,"Joel Clark",6114.08,1
Adams-Martin,"Gregory Wells",82589.44,1
Adams-Massey,"Maria Smith",43088.56,1
Adams-Mcclure,"Crystal Stewart",10399.75,1
Adams-Mcgrath,"Shannon Leonard",9478.33,1
Adams-Mendoza,"Alex Torres",38864.55,1
Adams-Mitchell,"Kayla Mccall",22922.30,1
Adams-Molina,"Teresa Mccarthy",21576.50,1
Adams-Nash,"Tanya Beck",35345.74,1
Adams-Ortega,"Tiffany Harris",10558.40,1
Adams-Reynolds,"Max Cole",31592.34,1
Adams-Rice,"Justin Rubio",22000.88,1
Adams-Richardson,"Marcus Silva",18445.50,1
Adams-Rodriguez,"Roberto Mitchell",3467.37,1
Adams-Salazar,"Joseph Rocha",8622.67,1
Adams-Savage,"Ms. Kelly Bautista",29683.96,1
Adams-Simmons,"Ashley Sparks",39988.48,1
Adams-Simmons,"John Ortega",11892.96,2
Adams-Smith,"Wayne Lopez",30151.50,1
Adams-Stewart,"Jerry Hardy",8471.17,1
Adams-Stuart,"Mary Gallagher MD",28118.44,1
Adams-Thompson,"Michael Harvey",37041.51,1
Adams-Thompson,"Kristen Summers",17124.94,2
Adams-Valencia,"Madison Wright",20264.21,1
Adams-Vazquez,"Kathryn Sweeney",33126.96,1
Adams-Velasquez,"Anita Craig",6481.97,1
Adams-Velez,"Danny Jones",31350.36,1
Adams-Woods,"Christine Flores",6929.71,1
"Adams, and Colon Green","Mark Zamora",9879.05,1
"Adams, and Daniels Rogers","Jason Chase",5350.18,1
"Adams, and Jackson Greer","Alicia Miller",37270.26,1
"Adams, and Johns Molina","Wanda Andersen",47435.22,1
"Adams, and Joseph Williams","Samuel Hughes",48393.46,1
"Adams, and Rodriguez Wright","James Romero",30777.23,1
"Adams, Bowers Escobar and","Alison Bennett",49191.65,1
"Adams, Christian and Perry","Johnny Ford",9867.97,1
"Adams, Collins Simmons and","Amber Johnston",22255.45,1
"Adams, Hayes and Gardner","Stephanie Curry",14695.31,1
"Adams, Hendricks Collins and","Jason Miller",8200.79,1
"Adams, Mcgee Brown and","Suzanne Knight DDS",33686.05,1
"Adams, Proctor Evans and","Colleen Stein",26533.25,1
"Adams, Randall Powers and","Michael Rodriguez",39471.35,1
"Adams, Ross Edwards and","John Mccormick",35301.15,1
"Adkins Group","Brandi Ewing",7361.44,1
"Adkins Hale Mueller, and","Amanda Lang",31562.08,1
"Adkins Inc","Patrick Gibson",45899.81,1
"Adkins Inc","Amanda Morrow",9882.73,2
"Adkins Knapp and Richards,","Allison Campbell",3470.76,1
"Adkins LLC","Alfred Sweeney",43841.35,1
"Adkins PLC","Jeremy Ochoa",44660.89,1
"Adkins Sons and","Crystal Fields",28626.48,1
"Adkins Sons and","Kelly Johnson",15259.05,2
"Adkins Torres Graves, and","Eduardo Johnson",41364.04,1
"Adkins Wade Simmons, and","Lindsey Turner",84142.08,1
Adkins-Avila,"Debra Lambert",46568.36,1
Adkins-Black,"Jenny Williams",15876.24,1
Adkins-Cantu,"Mark Diaz",38421.24,1
Adkins-Carter,"Rachel Allen",15695.39,1
Adkins-Cox,"Karen Gordon",57118.32,1
Adkins-Gonzalez,"Jessica Spencer",48237.40,1
Adkins-Griffin,"Karen Fitzgerald",18795.19,1
Adkins-Holmes,"Melinda Spencer",40338.77,1
Adkins-Jackson,"Jack Meyer",30272.60,1
Adkins-Jackson,"Sandy Hawkins",8345.51,2
Adkins-Martin,"David Henry",20283.37,1
Adkins-Scott,"Jeffrey Gomez",3852.41,1
"Adkins, and Morrow Russo","Rebecca Allen",41525.93,1
"Adkins, Garcia Pratt and","Carrie Arnold",13204.25,1
"Adkins, Guerrero and Kelly","Stephanie Taylor",2579.01,1
"Adkins, Logan and Johnson","Andrew Orozco",13069.81,1
"Aguilar Adams, and Morrison","Aaron Johnson",49348.81,1
"Aguilar Aguilar Tyler, and","Jeffery Oneal",43835.12,1
"Aguilar Cardenas and Frederick,","Tonya Carter",6611.76,1
"Aguilar Group","Heather Sanders",37990.33,1
"Aguilar Guzman, and Pratt","Robert Smith",31250.55,1
"Aguilar Inc","Emily Smith",31755.24,1
"Aguilar Inc","Crystal Baker",-529.96,2
"Aguilar Kim and Baker,","Jasmine Hebert",7904.35,1
"Aguilar Klein, Thompson and","Sandra King",2242.77,1
"Aguilar Lawson and Joseph,","Sheila James",31374.31,1
"Aguilar Ltd","Kimberly Miranda",79290.64,1
"Aguilar Ltd","Travis Green",36248.60,2
"Aguilar Ltd","Heather Howard",24640.18,3
"Aguilar Miller, Allen and","Jessica Robertson",35507.92,1
"Aguilar Mullins and Schmidt,","Mark Ewing",27670.95,1
"Aguilar PLC","Joseph Chambers",51731.66,1
"Aguilar PLC","Shane Terry",34751.30,2
"Aguilar Sons and","Monique Anthony",13945.10,1
Aguilar-Bass,"Lisa Orozco",14896.98,1
Aguilar-Blake,"Richard Shaw",4661.63,1
Aguilar-Conley,"Natalie Mckinney",38508.56,1
Aguilar-Ellison,"Kathy Buckley",28219.34,1
Aguilar-Freeman,"Jessica Davis",44602.39,1
Aguilar-Guzman,"Julie Mcclure",37666.97,1
Aguilar-Harris,"Rachel Morse",43502.03,1
Aguilar-Hill,"Kimberly Harrison",47819.39,1
Aguilar-Howard,"Barbara Gamble",24049.26,1
Aguilar-Leonard,"Mr. Cesar Rodriguez PhD",25065.03,1
Aguilar-Lopez,"Andrew Hanson",34859.71,1
Aguilar-Lowery,"Shawn Alvarado",44938.46,1
Aguilar-Martinez,"Sarah Clark",99470.62,1
Aguilar-Moreno,"Stephen Davis",30451.24,1
Aguilar-Parsons,"John Gardner",44437.06,1
Aguilar-Pearson,"Ryan Dean",88375.30,1
Aguilar-Scott,"Warren Ellis MD",24198.45,1
Aguilar-Silva,"Heather Luna",9169.67,1
Aguilar-Vega,"Katherine Cox",23651.30,1
Aguilar-Waller,"Michael Mccarty",28899.31,1
"Aguilar, and Dean Williams","Shane Stanley",50092.08,1
"Aguilar, and Wilson Perez","Sean Adams",35263.53,1
"Aguilar, Castaneda and Johnson","Diana Cruz",24132.34,1
"Aguilar, Schwartz and Molina","Jamie Mccullough",69528.74,1
"Aguilar, Spencer Sanders and","Cory Marshall",13913.05,1
"Aguirre Bell, and Ramsey","Brittany Adams",23923.29,1
"Aguirre Group","Becky Smith",50082.70,1
"Aguirre Group","Audrey Ross",20490.09,2
"Aguirre LLC","Kevin Webb",46440.72,1
"Aguirre LLC","Eddie Ruiz",43288.54,2
"Aguirre LLC","Angel Larsen",23694.00,3
"Aguirre Ltd","Jasmine Glover",79765.88,1
"Aguirre Ltd","Tammy Macdonald",30217.88,2
"Aguirre Turner, Reed and","Charles Keller",17197.14,1
Aguirre-Christensen,"Michael Myers",50702.74,1
Aguirre-Davis,"Michael Robinson",29189.88,1
Aguirre-Edwards,"Erika Bowen",38846.53,1
Aguirre-Graves,"Jeremy Spence",9082.93,1
Aguirre-Pennington,"Robert Tyler",96854.32,1
Aguirre-Perkins,"Joshua Perkins",9004.86,1
Aguirre-Pugh,"Belinda Hopkins",50025.49,1
Aguirre-Rodriguez,"Alexandra Mcdonald",35487.84,1
Aguirre-Sims,"Phillip Hansen",5367.37,1
Aguirre-Wang,"Rebecca Braun",94799.24,1
Aguirre-Williams,"Justin Martinez",17139.19,1
"Alexander and Castillo, Mason","Tyrone Cooper",27773.27,1
"Alexander and Graham Jennings,","Michael Bernard",40185.48,1
"Alexander and Jensen Andrews,","Marissa Stevenson",3730.00,1
"Alexander Group","Bobby Hernandez",35174.90,1
"Alexander Group","Jeffrey Friedman",34742.41,2
"Alexander Group","Allen Johnson",30123.22,3
"Alexander Hays, and Hernandez","Tammy Miller",32078.95,1
"Alexander Inc","Eric Bernard",31921.73,1
"Alexander Inc","Emily Mason",12220.52,2
"Alexander Ltd","Kathryn Lopez",48385.90,1
"Alexander Martinez, Love and","Shannon Buchanan",47267.18,1
"Alexander Patton, Lowery and","Nancy Smith",39252.18,1
"Alexander PLC","Jason Stephens",32178.74,1
"Alexander PLC","Danny Lewis",29998.55,2
"Alexander Simmons and Martinez,","Sarah Porter",14648.17,1
"Alexander Turner, Stout and","Juan Cherry",32268.98,1
"Alexander Wagner and Hill,","Steven Hubbard",13919.86,1
"Alexander Williams and Dixon,","Amy Pollard",24919.65,1
Alexander-Austin,"Deborah Frederick",32751.60,1
Alexander-Bradley,"Robert Morgan",5745.70,1
Alexander-Brady,"Angela Ferguson",7885.14,1
Alexander-Brooks,"Sean Jackson",35969.45,1
Alexander-Cantu,"Michael Stone",3666.84,1
Alexander-Duncan,"Dr. Matthew Norton",91047.74,1
Alexander-Gallagher,"Kevin Evans",42050.69,1
Alexander-George,"Tyrone Young",10320.16,1
Alexander-Howard,"Jeremy Foster",41700.17,1
Alexander-Howard,"Zachary Hodges",11095.55,2
Alexander-Lopez,"Isabella Wheeler",37858.96,1
Alexander-Manning,"Jeanette Norris",39849.79,1
Alexander-Mcdaniel,"John Roman",14465.14,1
Alexander-Middleton,"Jorge Armstrong",76794.04,1
Alexander-Moore,"Aaron Hansen",42043.21,1
Alexander-Moore,"Sheila Adams",12065.01,2
Alexander-Murphy,"Donna Armstrong",24562.01,1
Alexander-Nichols,"Catherine Espinoza",14076.60,1
Alexander-Oconnor,"Julia Monroe",41150.19,1
Alexander-Sanchez,"David Miller",45713.64,1
Alexander-Saunders,"Angela Ramirez",12646.92,1
Alexander-Silva,"Mark Harris",29527.81,1
Alexander-Smith,"Sara Brandt",5075.78,1
Alexander-Smith,"Catherine Pierce",3253.67,2
Alexander-Snyder,"Jimmy Garcia",26222.83,1
Alexander-Soto,"Amber King",6967.80,1
Alexander-Stone,"Jessica Keller",41760.68,1
Alexander-Villa,"Charles White",6240.27,1
Alexander-Walker,"Jade Smith",50102.68,1
Alexander-White,"Teresa Nelson",24371.01,1
"Alexander, and Ewing Lopez","Amanda Miller",17672.31,1
"Alexander, and Norris Williams","Mr. Joseph Rodriguez",46475.61,1
"Alexander, Baker Howell and","James Howe",27182.70,1
"Alexander, Morris and Hayes","Thomas Barker",33418.31,1
"Alexander, Schneider and Wilson","Joseph Kennedy",5702.77,1
"Ali and Chambers, Dawson","Shirley Smith",11508.82,1
"Ali and Cox Johnson,","Philip Butler",40115.17,1
"Ali and Sons","Gabrielle Saunders",3973.15,1
"Ali and Vargas Montes,","Victoria Phillips",27852.70,1
"Ali Fischer and Howe,","Sandra Garcia",37643.65,1
"Ali Group","Patrick Medina",19720.04,1
"Ali PLC","Michael Schultz",28903.44,1
"Ali Sons and","Jill Allen",19008.85,1
Ali-Adams,"Hannah Wright",48015.58,1
Ali-Baird,"Pamela Taylor",13936.98,1
Ali-Byrd,"Marco Petty",98768.36,1
Ali-Harris,"Marie Chandler",26999.38,1
Ali-James,"Gavin Oneill",17716.57,1
Ali-Marsh,"Anna Nicholson",21460.88,1
Ali-Warren,"Brett Chapman",37400.33,1
"Ali, Cooper Gilbert and","Tiffany Powell",24297.27,1
"Allen and Bell, Bell","Vanessa Conner",15894.56,1
"Allen and Blackwell Morgan,","Lisa Woods",11689.47,1
"Allen and Decker, Gonzales","Glenn Smith",13080.33,1
"Allen and Duncan Wright,","Daniel Cervantes",32530.97,1
"Allen and Gray, Scott","Austin Orr",7860.76,1
"Allen and Ho Wheeler,","Mrs. Tammy Bell",35700.69,1
"Allen and Hodge Williams,","Madison Barker",49225.85,1
"Allen and Holmes Schmidt,","Donald Cox",46444.96,1
"Allen and Holt, Ford","Colleen Barton",11138.86,1
"Allen and Kelly Garrett,","Kimberly Powers",38072.72,1
"Allen and Moore Holmes,","Jamie Ortiz",38385.73,1
"Allen and Page Graves,","Stephen Walker",14911.49,1
"Allen and Smith Tran,","Gary Davis",33969.18,1
"Allen and Sons","Rebecca Allen",42545.47,1
"Allen and Sons","George Phillips",38793.12,2
"Allen and Taylor, Matthews","Tammy Cummings",8088.27,1
"Allen and Valdez, Cantrell","Jonathan Crawford Jr.",3937.45,1
"Allen and Warren Johnson,","Scott West",17432.58,1
"Allen and Wilson Rollins,","John Marks",48564.86,1
"Allen Baker, Ross and","Pam Wood",75603.78,1
"Allen Black, and Collins","Jodi Bennett",39325.20,1
"Allen Campbell, and Hurst","Yvonne Harper",1583.38,1
"Allen Carney and Heath,","Shannon Dodson",28848.27,1
"Allen Castro and Hill,","Trevor Griffin",30204.03,1
"Allen Davis Todd, and","Mary Maldonado",48202.40,1
"Allen Decker Taylor, and","Kristina Foster",42029.96,1
"Allen Garcia and Wolf,","Mr. Matthew Luna",25702.30,1
"Allen Garcia, Johnson and","Edward Jones MD",9728.73,1
"Allen Gonzales and Hill,","Richard Walker",45086.93,1
"Allen Group","Joseph Alvarado",64746.26,1
"Allen Group","Mr. Arthur Myers DDS",47698.37,2
"Allen Group","Laura Flowers",46558.85,3
"Allen Harrington Grant, and","Roger Lewis",22053.98,1
"Allen Hurst, Gonzalez and","Scott Reilly",6640.90,1
"Allen Inc","Stephen Stanley",65444.80,1
"Allen Inc","Sarah Jones",43879.66,2
"Allen Inc","Courtney Henson",37346.36,3
"Allen Johnson, Meyers and","Kristen Mercer",38891.29,1
"Allen LLC","Peggy Adams",22986.46,1
"Allen LLC","Sara Shelton",18797.92,2
"Allen LLC","Samantha Fisher",10021.29,3
"Allen Ltd","Erin Martin MD",72779.28,1
"Allen Ltd","Katherine Obrien",37315.46,2
"Allen Ltd","Jacqueline Ellison",36536.82,3
"Allen Orr, and Frye","Jeremy Allen",27475.62,1
"Allen Parker and Estes,","Melissa Weeks",12448.69,1
"Allen Payne, Hamilton and","Alexandria French",7555.25,1
"Allen Pearson and Kaiser,","Derrick Joseph",31478.82,1
"Allen Pitts, Bryan and","Jason Bell",44175.66,1
"Allen PLC","Gary Goodman",48331.98,1
"Allen PLC","Tina Heath",31416.72,2
"Allen PLC","David White",31093.14,3
"Allen Rodriguez, and Stewart","David Ross",46180.70,1
"Allen Sons and","Michelle Rhodes",39697.64,1
"Allen Sparks and Soto,","Connie Yang",30406.92,1
"Allen Stanley, Woods and","Daniel Cardenas",10994.08,1
"Allen Thompson, and Mcdonald","Jason Lambert",49749.74,1
"Allen Watson and Robinson,","Austin Nguyen",18144.51,1
"Allen Watson Nguyen, and","Sandra Horne",35923.36,1
Allen-Allen,"Olivia Arnold",32.63,1
Allen-Anderson,"Whitney Chen",37851.99,1
Allen-Austin,"Aaron Mendoza",16253.36,1
Allen-Baker,"Victoria Smith",30679.20,1
Allen-Baker,"Kathleen Turner",3183.82,2
Allen-Bond,"Thomas Liu",4676.29,1
Allen-Brown,"Tammy Benjamin",14081.36,1
Allen-Brown,"Lindsey Gardner",10475.39,2
Allen-Byrd,"Brandon Blair",7980.41,1
Allen-Campbell,"Joshua Ross",47863.02,1
Allen-Cherry,"William Coleman",11624.31,1
Allen-Cooke,"Evan Higgins",9949.01,1
Allen-Copeland,"Nicholas Ellison",11416.34,1
Allen-Cowan,"Dylan Gray",41859.31,1
Allen-Crawford,"Janet Robertson",28065.61,1
Allen-Cunningham,"Jacqueline Holland",42499.47,1
Allen-Davenport,"Mary Randall",12473.49,1
Allen-Deleon,"Paul Fields",19013.67,1
Allen-Duran,"Mr. Chad Cook MD",24712.64,1
Allen-Evans,"Mrs. Lindsey Mcdonald",46853.55,1
Allen-Ferguson,"Jeremy Fox",9818.96,1
Allen-Fisher,"Devin Turner",44451.34,1
Allen-Fisher,"Melissa Coleman",15310.28,2
Allen-Ford,"Stephanie Hopkins",4478.27,1
Allen-Foster,"Thomas Morton",17311.65,1
Allen-French,"Gerald Gutierrez",30351.12,1
Allen-Garcia,"Sharon Smith",34771.42,1
Allen-Gomez,"Deborah Lewis",47988.08,1
Allen-Gray,"Randall Howe",100378.46,1
Allen-Hall,"Wayne Garcia",23713.85,1
Allen-Hall,"Jacob Smith",8790.15,2
Allen-Hernandez,"Deborah Dixon",48761.17,1
Allen-Hill,"Neil Flores",16731.42,1
Allen-Hoffman,"Daniel Hunt",30672.80,1
Allen-Holland,"Robert Adams",77964.70,1
Allen-Horn,"Andrea Taylor",9831.11,1
Allen-Horne,"Frederick Marquez",32066.24,1
Allen-Howell,"Kevin Perez",4346.00,1
Allen-James,"David Reyes",1831.71,1
Allen-Johnson,"Ethan Kelley",32615.70,1
Allen-Johnson,"Wayne Thomas",24636.79,2
Allen-Johnson,"Matthew Taylor",20246.02,3
Allen-Jones,"Madeline Pratt",29627.89,1
Allen-Leon,"Robert Johnson",36258.22,1
Allen-Lowery,"Laura Johnson",43439.29,1
Allen-Lynch,"Tony Gutierrez",23511.67,1
Allen-Marshall,"Christopher Bowers",1593.27,1
Allen-Mcguire,"Daniel Black",20855.90,1
Allen-Mckee,"Patrick Flores",1419.36,1
Allen-Moore,"Patrick Sanford",57360.82,1
Allen-Morales,"Jose Cole",1144.38,1
Allen-Mueller,"Ashley Floyd",80780.00,1
Allen-Newton,"Ronald Brown",1210.08,1
Allen-Nguyen,"William Moore",32923.69,1
Allen-Ortiz,"Jeff Perez",12239.54,1
Allen-Parrish,"Jesse Brown",23569.42,1
Allen-Perez,"Michelle Maynard DVM",41780.95,1
Allen-Perez,"David Nunez",10965.70,2
Allen-Powers,"Kenneth Edwards",25939.74,1
Allen-Price,"Zachary Walker",41176.15,1
Allen-Price,"Michael Glover",19824.14,2
Allen-Ramos,"Gina Hill",3945.24,1
Allen-Rice,"Joe Edwards",26718.27,1
Allen-Rich,"Cheryl Davila",39960.48,1
Allen-Robertson,"John Brown",8531.69,1
Allen-Rodriguez,"Valerie Wells",30002.31,1
Allen-Russell,"Mrs. Sue Gallagher",745.29,1
Allen-Sawyer,"Terry Sanchez",3468.95,1
Allen-Scott,"Tyler Sutton",29467.88,1
Allen-Scott,"Peter Myers",24084.67,2
Allen-Smith,"Stephanie Schaefer",4847.82,1
Allen-Smith,"April Brown",2990.02,2
Allen-Spence,"Matthew Leach",46320.14,1
Allen-Spencer,"Gary Orozco",10256.48,1
Allen-Sullivan,"Matthew Rose",14406.33,1
Allen-Taylor,"Lindsay Robertson",10574.76,1
Allen-Torres,"Curtis Horn",36480.59,1
Allen-Tucker,"Anthony Robertson",42596.80,1
Allen-Tyler,"Noah Grant DDS",16971.18,1
Allen-Wallace,"Carl Morgan",586.55,1
Allen-Walsh,"Ryan Robertson",65573.64,1
Allen-Wilson,"Sarah Mitchell",38052.13,1
Allen-Wood,"William Hamilton",31488.03,1
"Allen, and Barnes Smith","James Hunt",42951.17,1
"Allen, and Blackwell Taylor","Charlene Peterson",55463.04,1
"Allen, and Fischer Richardson","Sarah Perry",16231.99,1
"Allen, and Jackson Harrell","Marcus Moore",7773.54,1
"Allen, and Jensen Hurley","Thomas Jackson",38867.03,1
"Allen, and Parker Lynch","David Moore",17077.98,1
"Allen, and Rodriguez Randolph","Andrew Smith",45226.36,1
"Allen, and Velasquez Wilcox","Jacob Rivera",10986.84,1
"Allen, Cantu Orozco and","Kelsey Baker",39835.73,1
"Allen, Chaney Rice and","James Booker",24874.75,1
"Allen, Cross and Collins","Jacqueline Nelson",79383.20,1
"Allen, Davies and Mcintyre","Gina Schmitt",34613.00,1
"Allen, Frank Moore and","Shannon Shah",34093.45,1
"Allen, Harrell Schmidt and","Allen Ward",21085.73,1
"Allen, Jackson and Brown","Dr. Sandra Becker MD",44859.99,1
"Allen, Jackson and Walker","Mrs. Colleen Garcia",14310.08,1
"Allen, Jenkins Mcknight and","Karla Baker",4909.02,1
"Allen, Johns and Holland","Lauren Jordan",19210.03,1
"Allen, Johnson and Cooper","Michael Gregory",6242.87,1
"Allen, Miller and Reed","Christopher Butler",28090.03,1
"Allen, Quinn Mitchell and","Paula Wells",4360.80,1
"Allen, Turner and Allen","Jeff Lane",15023.33,1
